"marital","sibs","childs","age","educ","sex","rincome","relig","relig16","year","id"
5,2,0,52,14,1,25000,1,NA,2021,213
5,6,0,58,12,2,22500,1,NA,2021,214
3,4,2,NA,17,2,NA,4,NA,2021,215
1,6,4,79,6,2,25000,1,NA,2021,216
5,1,0,NA,12,1,25000,4,NA,2021,217
1,1,5,85,12,2,NA,2,NA,2021,218
1,NA,NA,NA,NA,1,NA,7,NA,2021,219
5,0,0,53,14,2,25000,1,NA,2021,220
3,12,1,59,13,2,25000,1,NA,2021,221
5,8,6,39,19,1,25000,1,NA,2021,222
3,0,1,50,12,2,2000,1,NA,2021,223
3,2,0,37,16,2,25000,1,NA,2021,224
1,4,4,35,0,1,NA,2,NA,2021,225
5,2,2,42,15,2,25000,1,NA,2021,226
2,3,4,57,12,2,NA,13,NA,2021,227
5,3,2,28,14,2,NA,4,NA,2021,229
5,NA,2,37,12,2,4500,9,NA,2021,230
1,3,4,72,17,2,NA,2,NA,2021,231
5,1,0,34,13,2,2000,2,NA,2021,232
1,2,4,63,18,2,25000,1,NA,2021,233
4,0,3,51,17,2,NA,7,NA,2021,234
3,1,2,33,12,1,22500,2,NA,2021,235
1,1,2,70,20,2,13,2,NA,2021,236
1,1,3,59,14,1,13,1,NA,2021,237
1,2,4,44,14,2,2000,1,NA,2021,238
1,4,5,78,16,2,25000,1,NA,2021,239
2,4,2,NA,12,2,NA,1,NA,2021,240
1,1,2,46,18,2,25000,1,NA,2021,241
1,3,0,37,16,1,25000,4,NA,2021,242
1,NA,2,49,14,2,NA,2,NA,2021,243
5,1,0,30,16,NA,25000,2,NA,2021,244
2,4,NA,50,NA,1,NA,11,NA,2021,245
1,1,2,67,12,1,25000,4,NA,2021,246
1,1,1,42,15,2,NA,4,NA,2021,247
5,4,0,20,11,2,NA,4,NA,2021,248
4,12,2,65,12,2,12500,NA,NA,2021,250
3,1,0,36,17,2,25000,2,NA,2021,253
2,1,4,NA,16,1,25000,1,NA,2021,254
1,2,4,60,16,1,13,2,NA,2021,255
1,3,2,47,16,1,13,1,NA,2021,256
5,1,0,29,16,2,25000,4,NA,2021,257
1,4,2,60,14,2,NA,7,NA,2021,258
5,1,0,35,19,1,25000,9,NA,2021,259
1,1,0,43,14,2,17500,4,NA,2021,260
3,7,2,64,13,2,25000,2,NA,2021,261
1,1,1,34,20,2,13,1,NA,2021,262
3,11,2,39,12,1,NA,2,NA,2021,263
3,4,2,68,15,1,NA,1,NA,2021,264
1,2,0,32,16,2,25000,1,NA,2021,265
3,1,2,29,12,2,NA,1,NA,2021,266
3,2,3,45,12,2,NA,1,NA,2021,267
1,3,3,42,18,2,25000,2,NA,2021,268
3,2,1,74,16,2,NA,1,NA,2021,269
5,5,3,NA,14,NA,NA,2,NA,2021,270
1,7,2,32,16,1,25000,9,NA,2021,271
5,0,0,38,18,1,25000,4,NA,2021,272
1,3,4,60,14,2,22500,1,NA,2021,273
5,4,1,NA,14,1,25000,1,NA,2021,274
3,1,1,52,12,2,NA,11,NA,2021,275
2,4,0,67,12,1,25000,1,NA,2021,276
1,1,2,57,17,1,NA,1,NA,2021,277
1,3,2,NA,16,1,NA,1,NA,2021,278
1,1,2,38,16,2,NA,1,NA,2021,279
3,2,0,67,14,2,7500,4,NA,2021,280
5,2,0,37,16,1,13,4,NA,2021,281
3,1,1,58,20,1,NA,4,NA,2021,282
1,NA,2,NA,20,1,13,7,NA,2021,284
1,1,1,33,19,1,25000,4,NA,2021,285
3,8,4,72,14,1,25000,1,NA,2021,286
5,4,0,36,12,1,25000,4,NA,2021,287
5,1,0,30,16,2,25000,4,NA,2021,288
3,5,2,NA,12,2,22500,4,NA,2021,289
2,3,4,46,12,1,25000,1,NA,2021,291
1,0,1,33,16,2,9000,4,NA,2021,292
1,1,2,34,15,2,NA,4,NA,2021,293
1,2,0,52,16,1,13,1,NA,2021,294
5,2,0,39,11,1,22500,4,NA,2021,296
3,1,1,78,16,2,NA,1,NA,2021,297
5,0,0,27,16,2,17500,4,NA,2021,298
3,1,1,53,15,2,25000,4,NA,2021,299
1,4,2,61,15,2,25000,1,NA,2021,300
5,7,0,37,13,1,25000,4,NA,2021,301
3,4,5,48,12,2,NA,2,NA,2021,302
5,2,0,25,18,1,NA,1,NA,2021,303
1,2,0,32,19,2,25000,4,NA,2021,304
1,NA,1,33,18,1,25000,1,NA,2021,305
1,5,3,69,18,1,NA,1,NA,2021,306
3,2,2,57,15,2,25000,4,NA,2021,307
5,1,2,69,14,1,NA,1,NA,2021,308
